City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,coyhaique,-45.5752,-72.0662,45.21,98,100,3.78,CL,1717872403
84,praia da vitoria,38.7333,-27.0667,71.85,64,40,9.06,PT,1717872424
85,hamilton,39.1834,-84.5333,76.21,65,40,4.61,US,1717872330
86,xiaoweizhai,26.1903,107.5125,66.92,99,100,3.56,CN,1717872424
87,tahe,52.3333,124.7333,45.63,58,96,3.11,CN,1717872424
88,mandalgovi,45.7625,106.2708,66.87,28,100,10.63,MN,1717872424
89,mar del plata,-38.0023,-57.5575,58.08,97,100,17.0,AR,1717872184
90,kone,-21.0595,164.8658,69.33,92,92,4.38,NC,1717872424
91,isafjordur,66.0755,-23.124,41.04,70,40,8.05,IS,1717872424
92,khandyga,62.6667,135.6,48.43,44,0,8.28,RU,1717872424
93,novyy urengoy,66.0833,76.6333,41.76,74,14,9.66,RU,1717872394
94,gorodoviki,46.1353,41.9656,73.33,40,46,6.17,RU,1717872424
95,jiuquan,39.7432,98.5174,70.21,21,100,4.12,CN,1717872424
96,contai,21.7786,87.7536,85.21,78,15,17.16,IN,1717872424
97,vorkuta,67.5,64.0,30.11,93,100,1.99,RU,1717872424
98,es castell,39.8795,4.2854,70.48,100,75,16.11,ES,1717872424
99,coquimbo,-29.9533,-71.3436,62.33,73,75,9.22,CL,1717872304
100,hun,29.1268,15.9477,88.39,13,0,7.16,LY,1717872424
101,jampur,29.6441,70.5954,93.25,27,0,2.95,PK,1717872424
102,avarua,-21.2078,-159.775,73.45,64,20,3.44,CK,1717872424
103,kargasok,59.0556,80.8572,49.82,95,79,13.65,RU,1717872424
104,iqaluit,63.7506,-68.5145,37.13,64,75,17.27,CA,1717872424
105,winnemucca,40.973,-117.7357,87.85,19,0,5.75,US,1717872424
106,punta del este,-34.9667,-54.95,75.31,83,0,4.61,UY,1717872424
107,hami,42.8,93.45,82.71,12,98,14.65,CN,1717872425
108,severo-yeniseyskiy,60.3725,93.0408,52.57,70,100,8.99,RU,1717872425
109,lebu,-37.6167,-73.65,53.19,93,100,17.18,CL,1717872398
110,murghob,38.1702,73.9667,32.79,99,100,0.85,TJ,1717872425
111,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,63,75,14.0,RU,1717872425
112,vadso,70.0744,29.7487,38.28,93,100,13.8,NO,1717872425
113,tsengel,49.4783,100.8894,55.71,54,100,2.3,MN,1717872425
114,lompoc,34.6391,-120.4579,75.78,91,100,11.5,US,1717872425
115,ust-nera,64.5667,143.2,41.77,51,88,4.12,RU,1717872425
116,dakhla,23.6848,-15.958,73.42,78,0,16.11,EH,1717872425
117,shingu,33.7333,135.9833,65.91,90,100,2.24,JP,1717872425
118,itoman,26.1247,127.6694,79.57,100,75,8.05,JP,1717872425
119,nelson bay,-32.7167,152.15,57.09,87,0,1.01,AU,1717872425
120,panji,-7.7253,114.0995,76.71,90,93,3.87,ID,1717872425
121,puerto san jose,13.9256,-90.8244,80.65,83,100,4.61,GT,1717872425
122,hasaki,35.7333,140.8333,63.28,79,98,8.46,JP,1717872425
123,keflavik,64.0049,-22.5624,48.11,61,0,11.5,IS,1717872425
124,arraial do cabo,-22.9661,-42.0278,78.76,78,0,13.8,BR,1717872425
125,glace bay,46.1969,-59.957,65.14,64,75,11.5,CA,1717872425
126,nikolayevsk-on-amure,53.1406,140.73,41.22,97,80,3.0,RU,1717872425
127,hawaiian paradise park,19.5933,-154.9731,78.87,78,20,3.44,US,1717872426
128,bilibino,68.0546,166.4372,43.3,48,0,3.36,RU,1717872356
129,chui,-33.6971,-53.4616,66.63,91,100,6.08,UY,1717872340
130,ilulissat,69.2167,-51.1,39.22,75,0,8.05,GL,1717872426
131,hagere hiywet,8.9833,37.85,65.1,66,63,3.56,ET,1717872426
132,prieska,-29.6641,22.7474,50.88,51,0,5.19,ZA,1717872426
133,twon-brass,4.3151,6.2418,79.29,86,99,14.65,NG,1717872426
134,verkhovazh'ye,60.7472,42.0465,56.14,87,36,2.55,RU,1717872426
135,manhush,47.0558,37.3107,66.65,76,8,9.51,UA,1717872426
136,malango,-2.9627,119.9001,65.77,98,99,2.28,ID,1717872426
137,punta arenas,-53.15,-70.9167,39.31,65,0,5.75,CL,1717872188
138,margate,51.3813,1.3862,62.69,65,1,14.27,GB,1717872426
139,kashgar,39.4547,75.9797,67.21,48,20,4.47,CN,1717872426
140,dunedin,-45.8742,170.5036,42.8,98,100,1.99,NZ,1717872426
141,ephraim,39.3597,-111.5863,81.81,33,0,6.22,US,1717872426
142,saynshand,44.8824,110.1163,70.38,29,37,8.55,MN,1717872426
143,midvagur,62.0511,-7.1939,45.43,81,75,17.27,FO,1717872426
144,arawa,-6.2132,155.5367,77.14,92,100,3.09,PG,1717872426
145,puerto aysen,-45.4,-72.7,46.58,99,100,5.35,CL,1717872393
146,stephenville,32.2207,-98.2023,95.25,42,0,16.11,US,1717872182
147,obock,12.25,43.0833,87.71,38,6,1.19,DJ,1717872426
148,malindi,-3.2175,40.1191,80.76,69,20,14.97,KE,1717872426
149,oranjemund,-28.55,16.4333,63.82,44,4,7.29,NA,1717872426
150,kousseri,12.0769,15.0306,96.76,32,20,5.75,CM,1717872426
151,anadyr,64.75,177.4833,34.3,100,75,8.95,RU,1717872426
152,carnarvon,-24.8667,113.6333,73.26,73,41,17.45,AU,1717872426
153,gubakha,58.8386,57.5532,53.17,87,88,3.11,RU,1717872426
154,torghay,49.6339,63.4981,68.95,72,15,8.55,KZ,1717872426
155,cabo san lucas,22.8909,-109.9124,87.62,66,73,8.72,MX,1717872426
156,san pedro de alcantara,36.4884,-4.9912,80.15,55,3,8.88,ES,1717872427
157,qaqortoq,60.7167,-46.0333,38.55,98,100,2.44,GL,1717872427
158,constantia,44.1833,28.65,70.7,67,45,9.04,RO,1717872427
159,pangody,65.85,74.4859,41.05,79,50,6.38,RU,1717872427
160,bengkulu,-3.8004,102.2655,76.03,93,100,4.0,ID,1717872427
161,sanjwal,33.7608,72.4336,81.68,31,0,4.29,PK,1717872427
162,port mathurin,-19.6833,63.4167,75.16,78,40,22.3,MU,1717872427
163,soure,-0.7167,-48.5233,80.82,81,89,10.54,BR,1717872179
164,spearfish,44.4908,-103.8594,72.27,33,20,17.27,US,1717872427
165,tangalle,6.024,80.7911,78.4,89,71,11.18,LK,1717872427
166,pangoa,-12.1167,-73.0,86.54,41,12,3.78,PE,1717872427
167,greenville,35.6127,-77.3663,85.95,30,0,4.61,US,1717872413
168,ola,59.5833,151.2833,41.14,98,100,1.99,RU,1717872427
169,kolonia,50.9333,6.95,66.43,52,0,11.5,DE,1717872269
170,kolonia town,6.964,158.206,80.6,94,100,5.75,FM,1717872427
171,ribeira grande,38.5167,-28.7,70.2,83,40,14.97,PT,1717872427
172,sao joao da barra,-21.6403,-41.0511,80.69,75,0,8.99,BR,1717872427
173,rio grande,-32.035,-52.0986,71.71,87,100,9.8,BR,1717872427
174,arno,60.1167,18.6333,53.78,66,100,12.17,SE,1717872427
175,egirdir,37.8746,30.8504,70.88,68,79,6.4,TR,1717872427
176,port lincoln,-34.7333,135.8667,54.9,77,64,7.76,AU,1717872427
177,tshikapa,-6.4167,20.8,77.59,31,8,2.21,CD,1717872427
178,crucecita,-28.95,-58.9833,82.38,52,12,13.65,AR,1717872427
179,xinyuan,37.3,99.0,43.09,84,100,3.65,CN,1717872428
180,bamboo flat,11.7,92.7167,78.89,94,40,1.14,IN,1717872428
181,minas de marcona,-15.2119,-75.1103,65.71,56,50,9.35,PE,1717872428
182,ryotsu-minato,38.0833,138.4333,63.64,95,100,3.38,JP,1717872428
183,cockburn town,21.4612,-71.1419,82.45,83,100,13.44,TC,1717872428
184,inari,68.906,27.0288,50.2,76,61,5.08,FI,1717872428
185,mejit,10.2753,170.8646,83.03,81,69,17.27,MH,1717872428
186,colonia,50.9333,6.95,66.43,52,0,11.5,DE,1717872243
187,kingscliff,-28.2667,153.5667,51.73,100,0,1.14,AU,1717872428
188,kamaishi,39.2667,141.8833,59.09,95,100,7.72,JP,1717872428
189,whitehorse,60.7161,-135.0538,69.1,30,75,5.99,CA,1717872357
190,remire-montjoly,4.9167,-52.2667,89.64,66,31,12.66,GF,1717872428
191,udachny,66.4167,112.4,56.44,80,97,4.59,RU,1717872428
192,lazaro cardenas,17.9583,-102.2,85.32,59,7,12.39,MX,1717872428
193,touros,-5.1989,-35.4608,79.5,89,17,13.02,BR,1717872396
194,nar'yan-mar,67.6713,53.087,40.1,73,75,11.01,RU,1717872428
195,port shepstone,-30.7414,30.455,61.07,68,71,5.59,ZA,1717872428
196,papatowai,-46.5619,169.4708,45.9,85,100,7.11,NZ,1717872428
197,pago pago,-14.2781,-170.7025,80.37,71,100,23.29,AS,1717872428
198,kankan,10.3854,-9.3057,85.75,53,51,3.53,GN,1717872428
199,gisborne,-38.6533,178.0042,48.18,88,21,7.07,NZ,1717872428
200,ilha de mocambique,-15.0342,40.7358,79.83,69,1,18.77,MZ,1717872428
201,tanjay,9.5153,123.1583,80.62,79,100,2.57,PH,1717872428
202,yauya,-8.9833,-77.3,63.75,30,56,2.55,PE,1717872428
203,mermoz boabab,14.7065,-17.4758,79.36,73,40,9.22,SN,1717872428
204,vila franca do campo,37.7167,-25.4333,68.41,99,81,6.49,PT,1717872429
205,badger,64.8,-147.5333,73.98,32,0,14.97,US,1717872429
